k (2**k),BTree,Treap,Hash Table,Skip List,Array of sorted array
15,0.0786890983581543,0.1670210361480713,0.0548751354217529,0.2960541248321533,0.2444908618927002
16,0.0809648036956787,0.1701791286468505,0.0549659729003906,0.3633160591125488,0.2665789127349853
17,0.0900421142578125,0.1997768878936767,0.058290958404541,0.426002025604248,0.2805061340332031
18,0.1065020561218261,0.231097936630249,0.0590178966522216,0.5190038681030273,0.3077740669250488
19,0.1248779296875,0.2732441425323486,0.0612928867340087,0.5825362205505371,0.3378698825836181
20,0.1502058506011963,0.2939250469207763,0.0640640258789062,0.6933050155639648,0.3650927543640136
21,0.1807959079742431,0.3287980556488037,0.0702350139617919,0.7412610054016113,0.4066901206970215
22,0.1700139045715332,0.3580899238586426,0.0706861019134521,0.8607399463653564,0.4516341686248779
23,0.1967270374298095,0.4503579139709472,0.0737931728363037,2.364168167114258,0.4924869537353515
24,0.225128173828125,0.0,0.0768671035766601,,0.6222169399261475
25,,,0.1108851432800293,,0.6457188129425049
26,,,0.0,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
