,IND,Dt1,Dt2,Dt3,Dt4,Dt5,Dynamic array store,Ds1,Ds2,Ds3,Ds4,Ds5,Dynamic array sum,Lt1,Lt2,Lt3,Lt4,Lt5,Linked list store,Ls1,Ls2,Ls3,Ls4,Ls5,Linked list sum
0,0,0,0,0,0,0,0,1.00E-05,1.31E-05,1.26E-05,1.22E-05,1.81E-05,1.32E-05,0,0,0,0,0,0,4.77E-06,1.00E-05,5.96E-06,5.25E-06,6.91E-06,6.58E-06
1,1,5.96E-06,6.91E-06,6.91E-06,4.05E-06,4.05E-06,5.58E-06,1.10E-05,1.41E-05,1.38E-05,1.31E-05,1.91E-05,1.42E-05,3.10E-06,3.10E-06,2.86E-06,2.15E-06,3.10E-06,2.86E-06,5.96E-06,1.12E-05,6.91E-06,6.20E-06,8.11E-06,7.68E-06
2,2,2.50E-05,2.60E-05,3.00E-05,2.22E-05,2.29E-05,2.52E-05,1.19E-05,1.53E-05,1.48E-05,1.41E-05,2.00E-05,1.52E-05,4.77E-06,5.01E-06,4.77E-06,4.29E-06,4.77E-06,4.72E-06,6.91E-06,1.22E-05,8.11E-06,7.15E-06,9.06E-06,8.68E-06
3,3,3.39E-05,3.60E-05,3.91E-05,3.12E-05,3.19E-05,3.44E-05,1.26E-05,1.62E-05,1.57E-05,1.53E-05,2.22E-05,1.64E-05,6.91E-06,6.91E-06,6.91E-06,5.96E-06,6.91E-06,6.72E-06,0.000396013,2.22E-05,0.000205994,1.72E-05,1.91E-05,0.000132084
4,4,4.60E-05,5.10E-05,5.20E-05,4.22E-05,4.41E-05,4.71E-05,1.48E-05,1.91E-05,1.88E-05,1.72E-05,2.38E-05,1.87E-05,1.19E-05,1.22E-05,1.07E-05,1.12E-05,1.22E-05,1.16E-05,0.000617027,3.53E-05,0.000211,2.22E-05,2.38E-05,0.000181866
5,5,6.32E-05,6.91E-05,6.91E-05,6.13E-05,6.29E-05,6.51E-05,2.00E-05,2.31E-05,2.26E-05,2.22E-05,2.81E-05,2.32E-05,1.88E-05,2.00E-05,1.79E-05,1.81E-05,1.91E-05,1.95E-05,0.000632048,5.03E-05,0.000853062,3.93E-05,0.000203848,0.000355721
6,6,8.99E-05,9.80E-05,9.51E-05,8.92E-05,9.11E-05,9.26E-05,2.79E-05,3.10E-05,3.08E-05,3.00E-05,3.60E-05,3.11E-05,3.31E-05,3.50E-05,3.17E-05,3.22E-05,3.19E-05,3.25E-05,0.000648975,0.000264406,0.000864029,5.41E-05,0.00049901,0.000466108
7,7,0.000138998,0.000146866,0.000147104,0.000138283,0.000143051,0.00014286,4.39E-05,4.63E-05,4.67E-05,4.63E-05,5.20E-05,4.70E-05,8.39E-05,8.99E-05,7.99E-05,7.99E-05,7.99E-05,7.67E-05,0.000659943,0.000275373,0.000874043,6.51E-05,0.000509977,0.000476885
8,8,0.000226974,0.000236034,0.000232935,0.000227213,0.000233889,0.000231409,7.49E-05,7.72E-05,7.77E-05,7.72E-05,8.42E-05,7.82E-05,0.000141144,0.000150204,0.000133753,0.000137091,0.000134945,0.000129231,0.000686884,0.000305176,0.00090003,9.44E-05,0.000705957,0.000538492
9,9,0.00040102,0.000402927,0.00040102,0.000401258,0.00040102,0.000401449,0.000138998,0.00014019,0.000140667,0.000142097,0.000147104,0.000141811,0.000266075,0.000281096,0.000256062,0.000261068,0.000257015,0.000243855,0.000740767,0.000562191,0.000951052,0.000397205,0.000912905,0.000712824
10,10,0.000720978,0.000756979,0.000730276,0.000751257,0.000726938,0.000737286,0.000277996,0.000266075,0.000268698,0.000267029,0.000275135,0.000270987,0.000504732,0.000536203,0.00048995,0.000501156,0.00048995,0.000465496,0.000846148,0.000669241,0.001057148,0.000503063,0.001019001,0.00081892
11,11,0.001332045,0.001388073,0.001369238,0.001421213,0.00137496,0.001377106,0.000529766,0.000511169,0.000723839,0.000503063,0.000529051,0.000559378,0.000983,0.0010252,0.00098896,0.000982046,0.000957012,0.000915933,0.001297951,0.00089407,0.001270056,0.000900269,0.001445055,0.00116148
12,12,0.00255394,0.00267005,0.002628088,0.002732038,0.00259614,0.002636051,0.001032829,0.001258135,0.001443624,0.001222134,0.001054049,0.001202154,0.002182961,0.002245903,0.002137899,0.002159119,0.002111912,0.002006658,0.002911091,0.001772165,0.002690077,0.001719236,0.002174139,0.002253342
13,13,0.005017996,0.005192995,0.005231142,0.005311966,0.005064964,0.005163813,0.002258778,0.002699137,0.002671719,0.002414227,0.002619982,0.002532768,0.015733004,0.015878916,0.015544891,0.014985085,0.014924049,0.013266452,0.005306959,0.003557205,0.006456852,0.003714085,0.006491899,0.0051054
14,14,0.009986877,0.010255098,0.010373116,0.010525227,0.010147095,0.010257483,0.006835938,0.005309105,0.005509853,0.005036116,0.005814075,0.005701017,0.019989967,0.020174265,0.019645929,0.019175053,0.019059896,0.017291021,0.009856939,0.008571148,0.011371136,0.006884098,0.011070013,0.009550667
15,15,0.020002842,0.020424843,0.020634174,0.020872355,0.020433903,0.020473623,0.012430906,0.010309935,0.012525797,0.009596348,0.012294054,0.011431408,0.028535128,0.028726101,0.027827978,0.027561188,0.027216911,0.025216452,0.016138077,0.032000065,0.017544985,0.017696142,0.020779133,0.02083168
16,16,0.040937185,0.040843964,0.041665077,0.04156518,0.04095006,0.041192293,0.0221138,0.021305084,0.024216652,0.019309044,0.02759409,0.022907734,0.063998938,0.063560963,0.059586763,0.059879065,0.058314085,0.054707925,0.030258894,0.062775135,0.042616129,0.061358213,0.039115191,0.047224712
17,17,0.087517023,0.085268974,0.085705996,0.083639145,0.086550951,0.085736418,0.04291296,0.041657209,0.045801878,0.04053092,0.049309015,0.044042397,0.116195917,0.117028952,0.110584736,0.11217308,0.10984087,0.101644325,0.060009956,0.08962512,0.123097897,0.124615192,0.081579924,0.095785618
18,18,0.181400061,0.175241947,0.179187059,0.174531221,0.176041842,0.177280426,0.087016821,0.088670969,0.091392756,0.077261209,0.10395813,0.089659977,0.261399031,0.265262127,0.251469851,0.255521059,0.249264002,0.228762674,0.127133846,0.17895031,0.338028193,0.292720318,0.164562941,0.220279121
