x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,251.31,235.77,227.58,249.86,247.74,244.98,267.83,260.59,237.17,288.49,255.36,228.82,232.34,270.48,239.3,244.49,271.69,224.26,275.58,241.0,257.42,249.13,248.33,241.22,250.72,228.62,237.34,230.63,248.96,232.63,248.03,252.23,247.53,250.3,248.97,239.67,254.87,239.11,242.76,238.75,265.47,254.97,249.62,247.91,244.38,223.97,234.44,243.47,251.32,253.87,268.04,229.58,269.81,270.03,255.77,258.72,244.45,242.43,242.6,257.43,245.6,247.99,280.92,231.94,242.4,245.47,270.13,242.14,251.8,225.05,250.54,243.23,235.41,254.12,238.91,232.32,229.21,241.44,245.26,237.28,229.79,222.69,265.53,260.79,214.85,235.81,239.28,241.87,257.05,244.14,241.79,258.21,237.3,246.18,251.16,230.25,246.65,246.11,253.07,232.5,247.75
1,224.85,185.27,190.3,212.17,225.61,212.32,214.45,180.94,203.23,202.02,220.01,195.19,196.67,253.95,200.91,201.85,215.12,222.75,204.15,204.2,269.44,234.15,248.51,196.67,203.7,251.64,241.28,208.11,258.9,178.65,228.6,231.62,223.29,199.61,220.61,240.44,245.38,244.17,218.53,222.11,212.74,233.69,236.45,247.96,247.89,200.83,182.32,227.85,208.99,235.61,213.39,197.15,251.24,233.34,203.63,230.02,210.21,214.0,225.18,250.23,215.14,252.5,216.57,233.06,221.32,238.9,219.63,218.51,216.7,197.33,295.01,214.25,209.3,212.72,222.11,241.32,226.06,222.19,245.89,221.17,199.76,203.77,254.97,270.23,238.99,219.85,206.88,221.03,252.27,216.43,235.84,232.18,216.81,211.38,217.08,245.9,214.88,244.43,243.87,217.83,254.25
2,188.85,191.81,182.59,174.16,201.77,176.73,151.5,159.95,187.49,179.63,197.99,200.4,196.2,236.29,159.05,188.5,178.78,191.73,211.59,205.91,196.92,228.73,212.73,179.74,184.81,256.39,239.23,200.83,215.15,172.96,250.85,250.86,192.7,172.98,186.1,255.52,201.68,204.6,185.01,194.2,209.55,212.11,226.28,221.96,209.95,193.09,198.14,190.5,211.33,215.03,203.82,186.76,235.22,189.61,199.51,215.62,177.97,214.67,194.87,209.73,207.54,246.29,205.54,189.22,188.29,236.42,226.06,189.95,227.98,192.94,213.76,199.43,219.56,198.2,214.59,184.84,205.17,205.46,227.2,183.18,197.6,198.4,274.79,265.59,227.52,246.28,180.78,226.39,236.5,228.64,230.43,234.24,205.03,219.56,204.5,215.56,206.13,241.19,185.37,224.14,234.81
3,148.84,164.81,165.78,129.88,144.76,138.1,145.6,142.54,174.98,138.29,156.65,146.82,161.91,212.13,160.94,154.4,145.76,198.03,172.14,206.2,174.82,218.5,176.61,166.64,186.18,227.45,229.23,184.65,197.66,160.01,205.51,187.67,176.27,158.45,179.66,194.91,174.45,208.62,196.37,169.29,185.46,203.21,212.76,186.66,207.69,144.44,177.56,164.07,184.99,177.57,166.7,188.28,203.73,172.0,190.57,184.2,182.43,215.88,199.76,204.53,214.09,206.45,183.93,168.8,178.18,213.61,220.59,179.73,199.91,194.84,210.95,185.72,179.52,187.3,207.0,171.76,202.24,185.36,203.33,177.11,193.63,210.55,212.38,230.13,208.85,205.53,176.8,222.47,200.02,216.12,202.27,194.06,184.29,206.55,197.6,190.1,198.39,211.14,206.38,202.65,222.61
4,138.85,131.38,149.55,120.25,124.69,134.11,140.91,141.67,131.85,122.23,184.31,135.78,163.53,190.98,123.37,132.39,129.55,179.6,182.59,188.35,165.2,178.08,154.55,139.77,172.48,179.19,219.9,161.22,184.26,151.16,194.26,177.79,143.04,146.55,153.18,160.7,172.77,171.12,177.18,163.25,175.44,164.07,172.54,180.49,173.38,162.68,167.93,182.05,178.17,174.81,163.5,182.45,188.75,177.33,201.01,163.63,177.84,189.38,162.76,188.88,200.11,205.85,195.72,178.33,156.6,194.73,204.24,183.68,199.24,182.66,196.6,182.47,176.97,168.41,225.13,181.6,189.83,172.97,203.45,186.34,196.09,200.63,189.39,216.94,231.91,202.89,213.12,193.72,198.32,188.1,195.58,198.19,165.54,216.22,185.14,180.03,181.75,179.45,197.43,203.35,210.73
5,137.81,118.07,118.78,111.56,123.31,139.48,145.36,120.99,125.76,120.86,177.47,132.06,157.19,132.34,129.23,146.51,126.11,161.21,164.67,168.81,136.29,165.79,146.58,123.96,181.77,153.66,202.41,172.89,152.04,122.54,178.35,178.73,155.99,137.16,141.3,159.52,142.64,171.81,171.68,156.97,169.96,148.69,157.71,157.09,152.89,159.54,162.73,153.01,179.13,175.55,152.97,171.29,185.9,172.12,197.69,187.57,170.45,197.46,154.08,167.51,187.89,189.49,163.01,163.83,159.4,195.66,155.6,167.02,180.17,180.73,182.05,168.39,168.56,174.45,166.83,167.42,176.0,160.65,198.04,167.68,201.33,185.75,185.59,207.67,203.27,181.58,160.93,196.77,173.42,168.93,186.85,183.53,181.2,204.74,187.45,182.06,199.8,178.33,177.73,188.33,223.87
6,114.69,92.54,110.84,103.38,118.41,113.84,114.45,117.5,118.22,112.67,175.08,113.84,134.95,119.89,132.56,133.28,119.01,158.58,160.98,154.39,121.6,157.71,122.84,144.04,140.53,137.55,194.95,158.45,134.2,115.33,160.12,180.44,137.5,132.34,137.81,147.29,134.37,170.26,167.84,142.59,180.1,144.26,141.51,159.55,150.74,145.18,140.73,159.06,205.18,174.34,156.19,156.7,160.68,174.72,170.69,159.04,170.69,187.27,153.15,157.01,170.89,162.47,167.35,162.8,158.33,192.61,166.23,167.84,168.48,188.23,171.76,185.37,156.39,171.85,197.02,175.41,186.68,166.04,172.22,165.69,197.58,170.47,149.58,187.58,198.73,180.51,177.23,185.38,192.92,169.76,184.03,185.92,192.16,197.15,197.67,179.32,185.38,179.77,166.75,172.41,196.76
7,101.12,89.45,100.39,92.94,103.74,93.88,136.2,105.65,105.31,108.31,140.55,105.9,128.99,121.54,123.99,121.12,108.32,142.0,129.29,142.54,124.28,134.4,119.87,124.66,150.89,144.47,179.09,147.03,125.22,115.71,143.76,152.27,129.32,133.33,132.14,167.34,129.26,164.7,171.93,139.0,156.66,128.88,137.65,165.78,134.42,137.55,145.73,144.49,169.25,144.57,156.81,153.02,145.82,175.56,163.5,166.05,170.03,174.58,149.5,158.8,170.16,156.68,165.06,147.59,160.06,177.71,147.03,160.3,156.85,172.8,161.3,183.15,145.99,160.6,167.35,167.8,175.9,151.18,175.1,171.77,164.2,178.03,175.46,167.97,206.26,175.89,170.42,195.83,162.15,172.22,170.82,174.69,153.19,198.78,164.62,157.76,193.43,176.67,171.12,177.03,176.56
8,94.21,98.88,99.45,88.72,103.33,97.71,115.63,104.64,97.97,97.61,125.86,101.03,137.32,101.02,117.03,129.14,100.39,134.14,134.0,141.55,118.53,115.96,96.8,129.83,156.47,134.02,158.54,135.31,115.92,118.06,143.14,140.85,137.38,123.57,115.9,151.67,127.17,156.33,162.8,136.76,132.51,122.61,130.72,143.9,124.68,141.9,135.68,144.31,188.73,156.27,146.85,143.56,135.26,143.65,155.23,165.19,159.17,168.74,150.56,177.25,157.74,152.86,153.97,151.02,162.59,157.86,151.0,150.68,169.42,133.35,160.04,172.18,156.42,144.44,167.22,169.22,178.23,163.13,169.49,164.14,173.86,166.03,169.94,174.89,197.13,183.09,151.33,181.36,179.18,170.79,167.83,165.88,168.33,178.21,174.62,165.0,167.56,178.71,163.82,194.7,183.8
9,90.03,86.06,89.56,85.83,97.58,87.01,113.72,91.2,105.08,100.35,107.14,102.44,121.88,95.19,98.6,128.64,92.46,120.04,122.62,145.61,120.4,105.22,107.04,146.31,126.39,130.25,129.23,140.51,126.72,109.86,155.5,145.1,127.15,121.91,119.56,151.48,123.06,160.85,164.33,134.46,138.12,124.49,130.82,157.22,126.6,132.63,137.15,133.67,152.95,141.93,143.42,134.44,133.26,154.85,160.24,165.47,151.77,159.74,145.52,158.02,150.0,148.87,153.13,143.61,154.81,148.2,142.11,146.93,147.57,153.17,152.56,152.24,148.85,148.44,149.91,159.19,186.22,147.58,158.72,172.49,167.29,178.39,159.41,155.76,179.77,170.82,149.91,192.11,169.38,174.42,146.99,182.71,159.89,168.07,182.92,176.56,171.47,160.88,162.66,181.26,164.18
