x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,227.52,241.49,236.98,259.96,256.43,265.15,263.33,227.54,253.64,257.73,279.06,246.26,230.93,237.14,270.43,246.18,250.26,234.76,260.05,258.74,259.52,249.18,264.41,252.26,258.2,237.65,253.65,248.63,248.5,265.23,270.02,226.3,252.11,225.95,253.2,234.83,262.19,260.58,252.54,215.2,265.57,257.38,230.11,234.56,262.82,239.34,241.45,239.23,260.58,220.06,257.12,264.74,265.07,243.74,234.9,244.31,252.37,275.29,237.11,229.74,269.38,286.5,233.42,261.02,287.18,241.56,258.28,250.53,241.23,235.06,248.3,212.11,255.93,255.81,241.93,233.01,241.42,248.64,242.49,258.81,260.19,260.18,263.98,234.12,236.58,216.79,224.46,250.95,270.72,278.98,259.94,238.7,274.3,261.31,280.62,250.81,264.09,279.88,276.82,250.36,256.57
1,186.38,254.59,179.59,190.64,194.65,192.25,257.81,207.55,283.49,208.76,269.47,183.37,256.53,184.22,189.07,209.98,192.71,196.37,180.0,234.98,227.38,218.56,220.26,249.57,219.91,181.92,200.09,233.49,216.6,205.98,219.18,223.13,233.44,216.37,203.36,184.7,268.52,210.99,201.51,201.13,202.64,220.21,200.42,187.47,197.71,202.48,220.09,227.64,184.14,198.01,205.78,228.66,263.72,238.42,239.64,225.35,242.4,225.41,242.43,216.17,237.81,217.23,214.97,266.02,227.98,259.82,237.93,213.5,268.07,209.94,232.77,221.36,243.11,209.13,225.04,204.57,249.76,229.66,204.64,254.21,270.9,195.68,237.76,234.55,197.28,214.59,235.17,219.96,225.31,252.65,216.27,224.13,264.63,230.52,268.02,223.1,251.95,229.52,203.45,234.11,235.42
2,172.72,208.58,153.55,167.79,153.81,152.2,178.14,176.41,208.85,160.8,196.95,155.63,222.53,200.51,154.01,155.58,154.89,198.71,190.05,196.74,243.88,170.02,183.59,187.72,181.24,207.81,186.73,186.36,199.74,164.01,168.49,200.86,187.78,172.0,208.42,173.0,219.34,163.33,191.31,204.13,173.32,251.64,163.34,186.63,180.18,176.14,155.43,213.85,192.84,203.87,193.89,182.8,233.91,194.58,210.09,184.76,210.75,197.52,216.64,192.33,233.42,205.63,221.52,222.81,226.94,200.37,207.66,213.72,213.64,198.09,224.68,214.25,258.08,196.39,218.16,181.41,202.68,237.34,195.27,221.77,234.24,216.71,245.27,257.23,202.8,223.21,248.64,214.93,190.12,199.65,196.02,191.21,246.18,202.77,241.38,198.72,240.06,211.47,216.64,221.54,194.5
3,151.43,161.41,149.95,145.81,156.59,140.57,158.12,186.19,162.25,147.14,187.0,156.11,194.94,179.84,126.36,143.9,152.15,170.3,163.56,155.92,208.48,169.9,148.22,149.27,161.54,164.25,141.48,163.22,181.78,159.69,193.97,191.18,201.22,160.9,170.77,159.34,196.21,179.6,177.89,208.26,161.14,204.35,164.5,178.33,180.54,175.97,177.29,195.11,184.45,158.67,172.97,196.96,199.4,196.34,217.84,176.81,189.01,196.64,224.4,187.36,220.48,210.55,174.43,216.16,207.14,226.93,177.85,196.32,180.51,200.83,203.07,167.13,229.44,198.84,175.01,188.49,202.81,193.57,183.82,205.41,225.23,188.78,251.33,243.56,181.14,188.25,208.37,172.65,179.71,182.85,163.81,193.67,218.26,216.08,172.65,200.48,205.78,175.36,203.18,218.82,205.5
4,146.46,125.14,118.49,130.98,139.79,126.4,158.36,141.29,134.7,113.63,149.04,132.07,139.31,139.89,124.41,126.35,140.33,177.42,128.79,147.18,171.62,147.28,158.67,140.18,143.2,157.7,133.48,147.97,171.78,139.01,151.96,177.22,165.02,172.84,152.51,147.29,201.94,139.14,159.04,180.77,159.49,192.63,180.61,148.25,173.24,167.06,172.13,161.59,172.37,175.53,164.13,157.47,192.12,172.18,222.36,186.53,193.38,188.76,188.89,174.12,184.7,180.58,167.46,181.25,218.76,208.93,170.34,186.57,171.67,179.97,192.08,183.41,224.45,208.46,193.0,186.22,190.71,195.01,200.4,192.23,207.69,189.51,217.37,212.31,172.8,208.73,192.52,185.19,189.04,180.27,187.77,183.63,206.56,201.5,175.62,190.24,211.71,187.0,211.8,201.65,202.67
5,121.53,118.99,106.1,108.89,126.08,113.71,142.36,133.76,150.42,122.73,121.03,119.52,145.42,128.83,119.39,124.09,133.31,156.46,116.71,117.69,161.54,145.54,137.98,129.05,130.97,138.32,131.21,144.26,158.85,150.92,155.26,164.6,146.39,134.12,155.62,130.83,177.66,145.95,155.08,172.15,130.02,148.23,156.58,153.19,149.88,148.47,162.74,150.75,170.82,154.67,168.87,154.16,193.07,167.32,177.25,184.22,162.27,180.74,192.65,171.92,199.16,178.47,184.62,176.79,208.15,186.71,167.22,164.27,185.89,177.76,179.11,173.74,210.65,177.46,165.17,188.4,200.35,180.4,179.06,230.74,175.76,174.31,206.06,193.52,166.02,204.69,229.32,169.28,171.04,199.78,178.58,174.79,202.69,213.56,191.89,190.58,199.24,183.49,211.97,182.5,183.93
6,133.6,113.52,99.13,110.9,115.87,116.31,138.25,117.57,116.73,115.04,133.52,118.44,148.03,114.88,100.81,105.44,120.78,146.24,109.22,112.45,145.63,129.67,128.4,132.52,127.8,123.7,121.37,154.75,159.68,132.79,138.71,166.52,133.19,149.01,146.0,147.49,189.3,134.02,156.18,146.89,131.48,163.28,144.01,148.63,135.44,151.66,149.66,143.31,178.38,137.14,142.04,155.12,174.79,154.75,163.77,175.2,156.65,180.91,189.45,182.94,184.64,159.98,182.38,176.14,174.48,190.13,175.69,169.77,178.12,162.4,146.79,162.64,193.94,161.12,185.11,166.41,173.02,177.14,181.14,193.12,161.94,170.53,179.51,172.0,162.8,192.82,223.44,158.54,173.9,188.83,171.96,159.32,207.42,188.95,177.4,166.33,191.85,192.87,199.49,195.57,183.88
7,110.19,109.82,86.89,109.93,98.64,95.05,115.95,120.81,121.63,109.11,123.47,107.47,143.44,97.78,108.07,98.93,116.98,131.92,110.93,124.75,128.54,120.72,123.58,133.02,121.24,130.39,111.47,124.06,147.13,140.5,121.31,152.53,132.78,124.73,130.57,144.71,136.84,140.14,141.0,152.23,131.43,160.38,153.9,132.88,139.0,144.47,133.3,153.74,178.1,170.21,129.53,144.42,185.58,152.31,160.38,183.44,162.02,159.37,176.28,165.15,166.66,146.51,172.92,180.29,165.45,198.83,164.79,185.03,168.79,167.02,172.68,143.38,191.33,159.78,167.98,161.28,151.99,174.05,163.88,174.72,180.03,169.49,203.88,179.3,153.25,186.88,183.08,166.79,161.45,172.93,165.77,161.27,182.94,193.43,177.28,176.21,190.14,188.1,163.12,193.32,202.56
8,92.01,98.25,84.35,121.81,107.32,91.96,121.15,115.54,91.03,93.81,114.64,104.81,128.03,106.06,100.89,92.69,115.44,123.3,98.3,115.81,129.44,123.28,137.48,119.44,121.1,117.0,121.39,122.88,148.79,123.57,132.17,150.9,124.92,127.46,127.63,132.65,137.92,142.53,133.1,123.34,127.13,153.63,141.59,136.97,128.96,139.26,149.73,136.56,162.39,164.61,130.44,141.06,166.32,161.42,159.05,168.54,150.8,146.12,167.27,179.57,162.4,166.62,154.14,147.04,152.03,179.12,159.66,166.09,151.89,171.25,153.83,147.11,174.44,155.22,166.28,183.71,160.46,173.31,158.33,181.38,166.22,145.03,195.23,180.87,167.1,175.8,175.31,161.14,154.14,197.11,181.61,146.14,173.17,196.93,192.83,180.76,203.78,192.13,184.5,180.57,168.18
9,82.06,90.36,77.93,105.02,104.44,96.53,116.48,92.96,94.77,96.46,104.67,96.45,119.84,92.6,91.36,91.48,104.87,126.47,103.99,116.09,134.51,105.49,130.02,124.21,112.4,118.43,116.83,120.44,129.36,120.89,124.01,135.34,124.71,126.04,122.4,130.1,127.75,127.54,143.2,127.37,118.88,130.73,138.1,132.71,120.03,130.37,143.23,143.98,160.09,142.01,130.44,136.01,162.11,155.21,161.94,165.87,151.64,144.93,166.61,156.95,165.88,151.38,150.57,156.11,162.33,171.32,152.76,167.03,155.16,154.29,151.6,156.58,169.67,148.6,158.46,166.88,150.64,162.94,161.57,183.48,165.41,155.8,185.74,184.18,162.61,173.7,178.91,156.4,155.4,184.27,171.05,156.03,181.34,178.46,187.31,159.91,164.23,181.21,167.22,166.53,173.8
